Date,Open,High,Low,Close,Volume,Adj Close
2013-06-14,114.10,114.66,113.82,113.82,6679100,111.40
2013-06-13,113.07,114.17,112.89,114.09,12506300,111.66
2013-06-12,113.00,113.83,112.27,112.33,10193200,109.94
2013-06-11,112.27,113.96,112.12,113.96,12841200,111.53
2013-06-10,112.70,113.12,112.38,112.62,7892600,110.22
2013-06-07,114.22,114.83,113.16,113.16,10459300,110.75
2013-06-06,114.88,116.79,114.41,115.22,8925200,112.77
2013-06-05,114.29,115.32,114.13,115.29,8056100,112.84
2013-06-04,113.96,114.49,113.66,113.72,7504300,111.30
2013-06-03,113.78,115.49,113.70,114.78,15564500,112.34
2013-05-31,114.97,115.02,113.17,114.45,18158800,111.74
2013-05-30,115.25,115.37,114.53,114.84,10011800,112.13
2013-05-29,114.62,115.18,114.46,115.12,11298600,112.40
2013-05-28,116.09,116.27,113.82,113.84,13567500,111.15
2013-05-24,116.98,117.42,116.71,116.80,5357600,114.04
2013-05-23,117.15,117.24,115.77,116.64,9207100,113.88
2013-05-22,118.02,118.55,115.80,116.09,18361500,113.35
2013-05-21,116.93,117.87,116.42,117.84,7781800,115.05
2013-05-20,117.63,117.67,116.79,116.92,5839800,114.16
2013-05-17,117.95,118.15,116.98,117.06,7435500,114.29
2013-05-16,117.97,118.94,117.93,118.56,8458400,115.76
2013-05-15,117.53,117.72,116.42,117.34,14608600,114.57
2013-05-14,118.35,118.44,116.54,116.56,9236100,113.81
2013-05-13,117.88,118.19,117.63,117.84,8050800,115.05
2013-05-10,119.76,119.79,117.85,118.75,11689000,115.94
2013-05-09,120.51,121.32,119.98,120.04,7527000,117.20
2013-05-08,120.27,120.83,120.17,120.35,5732900,117.51
2013-05-07,120.19,120.50,120.05,120.16,5049200,117.32
2013-05-06,121.15,121.25,120.32,120.63,5121900,117.78
2013-05-03,122.16,122.19,120.83,120.93,11283600,118.07
2013-05-02,123.59,123.97,123.51,123.85,4171800,120.92
2013-05-01,123.46,124.26,123.43,124.01,10724600,121.08
2013-04-30,123.26,123.69,122.67,123.01,4477400,119.85
2013-04-29,123.58,123.73,122.76,122.94,4916000,119.78
2013-04-26,123.20,123.51,123.01,123.39,4898800,120.22
2013-04-25,122.25,122.37,122.10,122.27,4297800,119.13
2013-04-24,122.47,122.82,122.30,122.80,3673600,119.64
2013-04-23,123.26,123.79,122.38,122.49,8042900,119.34
2013-04-22,122.84,123.29,122.67,122.92,4519400,119.76
2013-04-19,122.94,122.98,122.63,122.83,5474300,119.67
2013-04-18,122.81,123.22,122.60,123.09,7009500,119.93
2013-04-17,122.30,123.53,122.30,122.79,9020900,119.63
2013-04-16,121.92,122.52,121.88,121.98,6553500,118.84
2013-04-15,122.13,123.03,121.87,122.99,12948400,119.83
2013-04-12,121.33,121.94,120.90,121.93,9253000,118.80
2013-04-11,120.17,120.49,119.89,120.14,7501800,117.05
2013-04-10,120.59,120.66,119.90,119.91,10765200,116.83
2013-04-09,122.03,122.24,121.38,121.58,7176100,118.45
2013-04-08,122.67,122.87,121.78,121.88,8020300,118.75
2013-04-05,122.88,123.43,122.63,122.82,18626200,119.66
2013-04-04,119.59,120.41,119.47,120.39,9365700,117.30
2013-04-03,118.31,119.29,118.25,118.97,9527400,115.91
2013-04-02,118.07,118.14,117.75,117.91,5438000,114.88
2013-04-01,117.52,118.42,117.49,118.39,6113800,115.35
2013-03-28,118.12,118.45,117.68,117.76,5826400,114.48
2013-03-27,118.30,118.77,118.18,118.36,7742900,115.07
2013-03-26,116.87,117.91,116.78,117.36,5093200,114.10
2013-03-25,116.77,117.78,116.67,117.22,5839800,113.96
2013-03-22,117.30,117.50,116.77,117.33,6323800,114.07
2013-03-21,116.86,117.25,116.53,117.24,6119400,113.98
2013-03-20,116.71,116.99,116.08,116.12,8543900,112.89
2013-03-19,116.78,117.89,116.70,117.43,11986200,114.16
2013-03-18,116.83,116.88,116.15,116.64,9152200,113.40
2013-03-15,115.33,115.88,115.30,115.76,9673400,112.54
2013-03-14,115.09,115.64,114.98,115.22,9352100,112.01
2013-03-13,115.24,115.74,115.03,115.57,7371500,112.36
2013-03-12,115.25,115.79,115.23,115.69,9264200,112.47
