Volume,Adj Close,,,,,,,,,,,,,,,CNY,"A,B"
10500,41.54,,,,,,,,,,,,,,,,
2600,41.64,,,,,,,,,,,,,,,,
115900,41.66,,,,,,,,,,,,,,,,
11000,41.59,,,,,,,,,,,,,,,,
15100,41.53,,,,,,,,,,,,,,,,
1800,41.76,,,,,,,,,,,,,,,,
4100,41.62,,,,,,,,,,,,,,,,
4400,41.63,,,,,,,,,,,,,,,,
5900,41.56,,,,,,,,,,,,,,,,
4900,41.59,,,,,,,,,,,,,,,,
15600,41.42,,,,,,,,,,,,,,,,
2600,41.62,,,,,,,,,,,,,,,,
3100,41.82,,,,,,,,,,,,,,,,
7000,41.9,,,,,,,,,,,,,,,,
40200,42.54,,,,,,,,,,,,,,,,
4800,42.35,,,,,,,,,,,,,,,,
700,41.91,,,,,,,,,,,,,,,,
4000,41.72,,,,,,,,,,,,,,,,
1800,41.8,,,,,,,,,,,,,,,,
16600,41.7,,,,,,,,,,,,,,,,
15600,41.65,,,,,,,,,,,,,,,,
20500,41.71,,,,,,,,,,,,,,,,
5300,41.65,,,,,,,,,,,,,,,,
8400,41.6,,,,,,,,,,,,,,,,
7300,41.57,,,,,,,,,,,,,,,,
3200,41.6,,,,,,,,,,,,,,,,
12700,41.5,,,,,,,,,,,,,,,,
2200,41.51,,,,,,,,,,,,,,,,
7500,41.53,,,,,,,,,,,,,,,,
200,41.52,,,,,,,,,,,,,,,,
8300,41.53,,,,,,,,,,,,,,,,
7800,41.62,,,,,,,,,,,,,,,,
1400,41.4,,,,,,,,,,,,,,,,
2800,41.5,,,,,,,,,,,,,,,,
38700,41.6,,,,,,,,,,,,,,,,
12300,41.5,,,,,,,,,,,,,,,,
1800,41.27,,,,,,,,,,,,,,,,
7900,41.45,,,,,,,,,,,,,,,,
4400,41.4,,,,,,,,,,,,,,,,
10400,41.35,,,,,,,,,,,,,,,,
6900,41.34,,,,,,,,,,,,,,,,
33100,41.42,,,,,,,,,,,,,,,,
5200,41.52,,,,,,,,,,,,,,,,
13800,41.47,,,,,,,,,,,,,,,,
15300,41.58,,,,,,,,,,,,,,,,
16000,41.43,,,,,,,,,,,,,,,,
5000,41.33,,,,,,,,,,,,,,,,
1000,41.36,,,,,,,,,,,,,,,,
3800,41.29,,,,,,,,,,,,,,,,
7100,41.38,,,,,,,,,,,,,,,,
12800,41.34,,,,,,,,,,,,,,,,
800,41.34,,,,,,,,,,,,,,,,
6600,41.35,,,,,,,,,,,,,,,,
26000,41.35,,,,,,,,,,,,,,,,
20100,41.25,,,,,,,,,,,,,,,,
4500,41.25,,,,,,,,,,,,,,,,
22100,41.2,,,,,,,,,,,,,,,,
8600,41.15,,,,,,,,,,,,,,,,
4700,41.14,,,,,,,,,,,,,,,,
10300,41.23,,,,,,,,,,,,,,,,
24900,41.02,,,,,,,,,,,,,,,,
3800,41.15,,,,,,,,,,,,,,,,
10000,41.3,,,,,,,,,,,,,,,,
9600,41.27,,,,,,,,,,,,,,,,
1000,41.36,,,,,,,,,,,,,,,,
28000,41.24,,,,,,,,,,,,,,,,
1300,41.32,,,,,,,,,,,,,,,,
3800,41.22,,,,,,,,,,,,,,,,
2800,41.4,,,,,,,,,,,,,,,,
9800,41.35,,,,,,,,,,,,,,,,
13400,41.33,,,,,,,,,,,,,,,,
3600,41.32,,,,,,,,,,,,,,,,
